verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0613cc94d44dbbec	senat	27 rect. ter	Adopté	M. SUEUR	JORFDOLE000037775649	L224-30	LEGIARTI000042155910:12	60	oui	1	culté pour l'abonné de s'inscrire gratuitement sur la liste	Avant l'article 1 er Insérer un article additionnel ainsi rédigé : Après le 10° de l’article L. 224‑30 du code de la consommation, il est inséré un alinéa ainsi rédigé : « …° La faculté pour l’abonné de s’inscrire gratuitement sur la liste d’opposition au démarchage téléphonique prévue à l’article L. 223‑1. ».	10° bis La faculté pour l'abonné de s'inscrire gratuitement sur la liste d'opposition au démarchage téléphonique prévue à l'article L. 223-1 du présent code ;	//www.senat.fr/amendements/2018-2019/311/Amdt_27.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement insère un 10° bis après le 10° de L224-30 ; « La faculté pour l'abonné de s'inscrire gratuitement sur la liste d'opposition au démarchage téléphonique... » est reprise mot pour mot dans la version du fonds du 2020-07-26, absente de la version précédente.	Le dispositif insère après le 10° de L.224-30 l'alinéa « La faculté pour l'abonné de s'inscrire gratuitement sur la liste d'opposition au démarchage téléphonique prévue à l'article L. 223-1. », repris quasi mot pour mot en 10° bis. Adopté.		2026-09-21
juste	0c6bcc9a3d6e3fa2	assemblee	539	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34-1	LEGIARTI000028742042:0	60	sans visée	1	ut manquement à l'article l. 121-34 est passible d'une amend	Compléter cet article par les douze alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigée : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121‑34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au démarchage téléphonique. « Il est interdit  […]	Tout manquement à l'article L. 121-34 est passible d'une amende administrative dont le montant ne peut excéder 15 000 € pour une personne physique et 75 000 € pour une personne morale. L'amende est prononcée dans les conditions prévues à l'article L. 141-1-2.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement 539 (adopté) crée l'article L. 121-34-1 dans ces termes exacts (« Tout manquement à l'article L. 121-34 est passible d'une amende administrative... L. 141-1-2. ») ; c'est la toute première version du fonds pour cet article.	Le dispositif complet (III) crée « Art. L. 121-34-1. – Tout manquement à l'article L. 121-34 est passible d'une amende... L. 141-1-2. » qui correspond mot pour mot au segment codifié. Adopté.		2026-09-21
juste	12a367a4fe9e2700	senat	682	Adopté	M. FAUCONNIER	JORFDOLE000027383756	L121-105	LEGIARTI000028741141:0	60	sans visée	1	lorsque le consommateur prend personnellement livraison des	I. - Après l'alinéa 32 Insérer trois alinéas ainsi rédigés : « Section 16 « Contrats de transport hors déménagement « Art. L. 121-104. – Lorsque le consommateur prend personnellement livraison des objets transportés et lorsque le voiturier ne justifie pas lui avoir laissé la possibilité de vérifier effectivement leur bon état, le délai mentionné à l’article L. 133-3 du code de commerce est porté à […]	Lorsque le consommateur prend personnellement livraison des objets transportés et lorsque le voiturier ne justifie pas lui avoir laissé la possibilité de vérifier effectivement leur bon état, le délai mentionné à l'article L. 133-3 du code de commerce est porté à dix jours.	//www.senat.fr/amendements/2012-2013/810/Amdt_682.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement rédige « Art. L. 121-104 » avec ce texte, mais le fonds a codifié ce même texte, mot pour mot, sous L121-105 (version créée le 2014-03-19) ; simple renumérotation lors de la codification finale de la loi.	Le dispositif rédige « Art. L. 121-104 » avec le texte exact du segment ; la version_article LEGIARTI000028741141 (depuis 2014-03-19, texte identique) montre qu'il a simplement été renuméroté L.121-105 à la codification. Adopté.		2026-09-21
juste	145e4fb46e2b92d7	senat	40	Adopté	M. HÉRISSON	JORFDOLE000017759461	L121-27	LEGIARTI000006292091:0	60	sans visée	1	aux articles l. 121-18, l. 121-19, l. 121-20, l. 121-20-1 et	Après l'article 13, insérer un article additionnel ainsi rédigé : A la fin de la dernière phrase de l'article L. 121‑27 du code de la consommation, les références : « aux articles L. 121‑16 et L. 121‑19 » sont remplacées par les références : « aux articles L. 121‑18, L. 121‑19, L. 121‑20, L. 121‑20‑1 et L. 121‑20‑3 ».	A la suite d'un démarchage par téléphone ou par tout moyen technique assimilable, le professionnel doit adresser au consommateur une confirmation de l'offre qu'il a faite. Le consommateur n'est engagé que par sa signature. Il bénéficie alors des dispositions prévues aux articles L. 121-18, L. 121-19, L. 121-20, L. 121-20-1 et L. 121-20-3.	//www.senat.fr/amendements/2002-2003/195/Amdt_40.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement substitue la liste finale de références (« aux articles L. 121-18, L. 121-19, L. 121-20, L. 121-20-1 et L. 121-20-3 ») à l'ancienne ; la version du fonds du 2004-06-22 porte exactement cette liste, contre l'ancienne liste (L. 121-16 et L. 121-19) dans la version de 1993.	L'amendement remplace dans L.121-27 les références « aux articles L. 121-16 et L. 121-19 » par « aux articles L. 121-18, L. 121-19, L. 121-20, L. 121-20-1 et L. 121-20-3 » ; la version 2004-06-22 de l'article reprend exactement cette liste. Adopté.		2026-09-21
juste	1948d2fb7ede0f91	senat	1449 rect. bis	Adopté	M. DALLIER	JORFDOLE000029883713	L121-16-1	LEGIARTI000031012897:12	60	sans visée	1	ontrats portant sur la création, l'acquisition ou le transfe	I. – Alinéa 3 Remplacer cet alinéa par cinq alinéas ainsi rédigés : 1° bis L’article L. 121–16–1 est ainsi modifié : a) Le I est complété par un alinéa ainsi rédigé : « ...° Les contrats portant sur la création, l’acquisition ou le transfert de biens immobiliers ou de droits sur des biens immobiliers, la construction d’immeubles neufs, la transformation importante d’immeubles existants ou la locat […]	12° Les contrats portant sur la création, l'acquisition ou le transfert de biens immobiliers ou de droits sur des biens immobiliers, la construction d'immeubles neufs, la transformation importante d'immeubles existants ou la location d'un logement à des fins résidentielles.	//www.senat.fr/amendements/2014-2015/371/Amdt_1449.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement ajoute un alinéa au I de L121-16-1 (« Les contrats portant sur la création, l'acquisition ou le transfert de biens immobiliers... résidentielles. ») ; absent de la version 2014-06-14, présent mot pour mot en 12° dans la version 2015-08-08.	Le a) ajouté au I de L.121-16-1 rédige l'alinéa sur « les contrats portant sur la création, l'acquisition ou le transfert de biens immobiliers... », identique au segment codifié en 12°. Adopté.		2026-09-21
faux	2f85addc6fbfdd63	senat	65	Adopté	M. de BROISSIA	JORFDOLE000017759445	L121-83	LEGIARTI000006292140:0	60	sans visée	1	l'article l. 32 du code des postes et des communications él	Après l'article 41 bis, insérer un article additionnel ainsi rédigé : Le 14° de l'article 28 de la même loi est ainsi rédigé : « 14° Les modalités de rediffusion, intégrale ou partielle, par un réseau de communications électroniques au sens du 2° de l'article L. 32 du code des postes et des communications électroniques, du service de télévision en plusieurs programmes, dans des conditions fixées p […]	Tout contrat souscrit par un consommateur avec un fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques doit comporter au moins les informations suivantes :	//www.senat.fr/amendements/2003-2004/215/Amdt_65.html	faux		agent:claude-sonnet-5	agent:claude-sonnet-5		Le dispositif de l'amendement 65 réécrit le 14° de l'article 28 de la loi du 30 septembre 1986 (rediffusion télévisuelle), sans rapport avec L121-83 du code de la consommation ; la fenêtre commune (« l'article L. 32 du code des postes... ») n'est qu'une référence coïncidente, pas le texte introduit à cet article.	Le dispositif entier récrit le 14° de l'article 28 de la loi de 1986 sur l'audiovisuel (rediffusion télévisuelle) ; rien n'y concerne un contrat de communications électroniques sous L.121-83. Le rapprochement ne tient qu'à la mention fortuite commune de « l'article L. 32 du code des postes ».		2026-09-21
juste	35bfb957f7d3df06	senat	614 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000031589829	L112-8	LEGIARTI000033216993:1	60	sans visée	2	es services d'accueil téléphonique concernés sont accessible	Rédiger ainsi cet article : I. – Après le o du I de l’article L. 33‑1 du code des postes et des communications électroniques, il est inséré un p ainsi rédigé : « p) Un accès des utilisateurs finals sourds , malentendants, sourdaveugles et aphasiques à une offre de services de communications électroniques, incluant pour les appels passés et reçus, la fourniture, d’un service de traduction simultané […]	Les services d'accueil téléphonique concernés sont accessibles directement ou, à défaut, par l'intermédiaire d'une plateforme en ligne dédiée délivrant le service de traduction simultanée écrite et visuelle. L'accessibilité est soit assurée directement par l'entreprise, soit confiée par elle, sous sa responsabilité, à un opérateur spécialisé qui en assure la mise en œuvre et l'exécution.	//www.senat.fr/amendements/2015-2016/535/Amdt_614.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Le III du dispositif crée l'article devenu L112-8 (nouvelle lignée, version créée le 2016-10-09) ; le second alinéa (« Les services d'accueil téléphonique concernés... exécution. ») y figure mot pour mot.	Le III du dispositif crée un « Art. L. 224-58-... » dont le second alinéa (« Les services d'accueil téléphonique concernés sont accessibles... ») est repris mot pour mot par LEGIARTI000033216993 (L.112-8, lignée 2, depuis 2016-10-09) : simple renumérotation à la codification. Adopté.		2026-09-21
juste	7b658f8c6891e298	senat	423	Adopté	M. ROME	JORFDOLE000031589829	L122-22	LEGIARTI000033206982:0	60	sans visée	1	urnisseur qui se prévaut d'une offre de service de coffre-fo	Après l’article 40 AA Insérer un article additionnel ainsi rédigé : I. – Le titre I er du livre III du code des postes et des communications électroniques est complété par un article L. 137 ainsi rédigé : « Art. L. 137. – Un service de coffre‑fort numérique est un service qui a pour objet : « a) la réception, le stockage, la suppression et la transmission de données ou documents électroniques dans […]	Le fournisseur qui se prévaut d'une offre de service de coffre-fort numérique défini aux 1° à 5° de l'article L. 137 du code des postes et des communications électroniques et qui ne respecte pas les obligations qui y sont énoncées est passible des sanctions prévues aux articles L. 132-2 et L. 132-3 du présent code.	//www.senat.fr/amendements/2015-2016/535/Amdt_423.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement 423 crée l'article devenu L122-22 (« Le fournisseur qui se prévaut d'une offre de service de coffre-fort numérique... »), texte repris dans la version créée le 2016-10-09, avec seulement les références renumérotées (a-e → 1° à 5°, L.121-6 → L.132-2/L.132-3).	Le II du dispositif crée « Art. L. 121-82-... » sur le fournisseur de coffre-fort numérique ; la version_article LEGIARTI000033206982 de L.122-22 (depuis 2016-10-09) reprend ce texte avec les seules références recodifiées (a-e→1-5°, L.121-6→L.132-2/L.132-3). Adopté.		2026-09-21
juste	83e1609255d2a283	senat	34 rect. bis	Adopté	M. CHAIZE	JORFDOLE000031589829	L122-22	LEGIARTI000033206982:0	60	sans visée	1	urnisseur qui se prévaut d'une offre de service de coffre-fo	Après l’article 40 AA Insérer un article additionnel ainsi rédigé : I. – Le titre I er du livre III du code des postes et des communications électroniques est complété par un article L. 137 ainsi rédigé : « Art. L. 137. – Un service de coffre‑fort numérique est un service qui a pour objet : « a) la réception, le stockage, la suppression et la transmission de données ou documents électroniques dans […]	Le fournisseur qui se prévaut d'une offre de service de coffre-fort numérique défini aux 1° à 5° de l'article L. 137 du code des postes et des communications électroniques et qui ne respecte pas les obligations qui y sont énoncées est passible des sanctions prévues aux articles L. 132-2 et L. 132-3 du présent code.	//www.senat.fr/amendements/2015-2016/535/Amdt_34.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		Amendement identique à 423 et à 508 rect. bis (même dispositif, votés ensemble), tous trois à l'origine du même article codifié en L122-22.	Amendement identique au 423 (M. ROME) : même II créant le même article sur le coffre-fort numérique, texte codifié en L.122-22 (LEGIARTI000033206982) inchangé. Adopté.		2026-09-21
juste	8a2a7a788c3f4d97	assemblee	40	Adopté	M. Frédéric Barbier	JORFDOLE000027383756	L121-43	LEGIARTI000028744500:0	60	sans visée	1	s de mise en place et de fonctionnement de l'outil prévu à l	Substituer à l’alinéa 8 les cinq alinéas suivants : « L’opérateur mentionné au premier alinéa prévoit dans le contrat avec l’abonné auquel il affecte un numéro à valeur ajoutée, sous peine de résiliation, que l’abonné l’informe de toute modification concernant son identité et son adresse, lesquelles doivent figurer dans le contrat. « Ce même contrat prévoit également, sous peine de la suspension d […]	Les coûts de mise en place et de fonctionnement de l'outil prévu à l'article L. 121-42 sont mutualisés par les professionnels mentionnés au premier alinéa du même article.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		L'amendement crée « Art. L. 121-42-1 » (« Les coûts de mise en place et de fonctionnement de l'outil prévu à l'article L. 121-42 sont mutualisés... »), devenu L121-43 dans le fonds (version créée le 2016-03-18), texte identique.	Le dernier alinéa substitué crée « Art. L. 121-42-1. – Les coûts de mise en place et de fonctionnement de l'outil prévu à l'article L. 121-42 sont mutualisés... », identique au texte codifié (LEGIARTI000028744500, article renuméroté L.121-43). Adopté.		2026-09-21
