verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	5f03860c5066ee54	senat	98 rect.	Adopté	M. RIETMANN	JORFDOLE000043701629	L412-4	LEGIARTI000044224589:3	60	sans visée	1	est également informé de tous les pays d'origine des miels c	I. – Alinéa 4 Remplacer cet alinéa par quatre alinéas ainsi rédigés : b) Les deuxième à avant-dernier alinéas sont ainsi rédigés : « Le consommateur est informé, au moyen de l’étiquetage, de l’origine du cacao des produits à base de cacao et de chocolat et de l’origine de la gelée royale. « Il est également informé de tous les pays d’origine des miels composant un mélange de miels en provenance de […]	Il est également informé de tous les pays d'origine des miels composant un mélange de miels en provenance de plus d'un Etat membre de l'Union européenne ou d'un pays tiers, qui sont indiqués sur l'étiquette du produit.	//www.senat.fr/amendements/2020-2021/829/Amdt_98.html									
faux	623485d101919f61	senat	342 rect.	Adopté	M. BÉRIT-DÉBAT	JORFDOLE000027617351	L331-3	LEGIARTI000028807014:9	60	sans visée	1	loi n° 90-449 du 31 mai 1990 visant à la mise en œuvre du dr	Après l'alinéa 7 Insérer sept alinéas ainsi rédigés : ...° Après l’article L. 441-1-4, il est inséré un article L. 441-1-5 ainsi rédigé : « Art. L. 441-1-5 - Tout établissement public de coopération intercommunale doté d’un programme local de l’habitat approuvé peut créer une conférence intercommunale du logement qui rassemble, outre les maires des communes membres de l'établissement, le représent […]	A tout moment de la procédure, si la situation du débiteur l'exige, la commission l'invite à solliciter une mesure d'aide ou d'action sociale qui peut comprendre un programme d'éducation budgétaire, et notamment une mesure d'accompagnement social personnalisé, dans les conditions prévues par le livre II du code de l'action sociale et des familles. Dans chaque département, la commission de coordina […]	//www.senat.fr/amendements/2013-2014/308/Amdt_342.html									
juste	629f35990cb49702	senat	624	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L215-1	LEGIARTI000028748441:4	60	oui	1	disposent à cet effet des pouvoirs prévus aux articles l. 14	Rédiger ainsi cet article : Le I de l’article L. 215-1 du code de la consommation est ainsi modifié : 1° Le 4° est ainsi rédigé : « 4° Les agents mentionnés à l’article L. 1312‑1 du code de la santé publique qui disposent à cet effet des pouvoirs prévus aux articles L. 1421‑2 à L. 1421‑3 du même code ; » ; 2° Le 8° est ainsi rédigé : « 8° Les agents figurant sur une liste établie par arrêté du min […]	4° Les agents mentionnés à l'article L. 1312-1 du code de la santé publique, qui disposent à cet effet des pouvoirs prévus aux articles L. 1421-2 à L. 1421-3 du même code ;	//www.senat.fr/amendements/2012-2013/810/Amdt_624.html									
juste	62d08867cd61992e	senat	95 rect.	Adopté	M. VERZELEN	JORFDOLE000051045642	L132-14-1	LEGIARTI000051828125:0	60	oui	1	'abus de faiblesse ou d'ignorance est commis dans les condit	Après l'alinéa 5 Insérer cinq alinéas ainsi rédigés : .... – Le livre I er est ainsi modifié : 1° Au troisième alinéa de l’article L. 121-11, après le mot : « vendu », sont insérés les mots : « ou au consentement au démarchage téléphonique mentionné au chapitre III du titre II du livre II » ; 2° Après l’article L. 132-14, il est inséré un article L. 132-14-1 ainsi rédigé : « Art. L. 132-14-1 . – L […]	Lorsque l'abus de faiblesse ou d'ignorance est commis dans les conditions mentionnées au 1° de l'article L. 121-9, les peines prévues au premier alinéa de l'article L. 132-14 sont portées à cinq ans d'emprisonnement et 500 000 € d'amende.	//www.senat.fr/amendements/2024-2025/469/Amdt_95.html									
juste	63bac38ffc7cea36	senat	253	Adopté	M. DESESSARD	JORFDOLE000026795365	L312-9	LEGIARTI000027783139:5	60	sans visée	2	si l'offre définie à l'article l. 312-7 a été émise, le prêt	I. – Alinéa 20, première phrase Après les mots : le prêteur peut émettre rédiger ainsi la fin de cet alinéa : une offre modifiée ou un avenant à l’offre initiale mentionnée au premier alinéa, sans que les délais mentionnés à l’article L. 312-10 ne soient prorogés ni ne courent à nouveau. II. – Alinéas 24 à 26 Rédiger ainsi ces alinéas : b) Au début du cinquième alinéa, sont insérés les mots : « Ju […]	Si l'offre définie à l'article L. 312-7 a été émise, le prêteur notifie à l'emprunteur sa décision d'acceptation ou de refus et lui adresse, s'il y a lieu, l'offre modifiée mentionnée à l'article L. 312-8, dans un délai de dix jours ouvrés à compter de la réception de la demande de substitution. Si l'emprunteur fait usage du droit de résiliation du contrat d'assurance dans le délai de douze mois à […]	//www.senat.fr/amendements/2012-2013/423/Amdt_253.html									
juste	66fefae751b9773f	senat	564	Adopté	Mme LAMURE	JORFDOLE000027383756	L133-4	LEGIARTI000028741498:0	60	oui	1	s de la conclusion de tout contrat écrit, le consommateur es	Alinéa 2 Rédiger ainsi cet alinéa : « Art. L. 133-4. - Lors de la conclusion de tout contrat écrit, le consommateur est informé par le professionnel de la possibilité de recourir, en cas contestation, à une procédure de médiation conventionnelle ou à tout autre mode alternatif de règlement des différends. »	Lors de la conclusion de tout contrat écrit, le consommateur est informé par le professionnel de la possibilité de recourir, en cas de contestation, à une procédure de médiation conventionnelle ou à tout autre mode alternatif de règlement des différends.	//www.senat.fr/amendements/2012-2013/810/Amdt_564.html									
juste	6838d2aac7c09f6d	senat	631	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L215-3-4	LEGIARTI000028743251:1	60	sans visée	1	le contrôle de la vente de biens et de la fourniture de ser	I. - Alinéa 4 Après les mots : en dépend insérer les mots : et qu’elle ne peut être établie autrement II. - Alinéa 5 Rédiger ainsi cet alinéa : « II. - Pour le contrôle de la vente de biens et de la fourniture de services sur internet, les agents mentionnés au I du présent article peuvent faire usage d’une identité d’emprunt. »	II.-Pour le contrôle de la vente de biens et de la fourniture de services sur internet, les agents mentionnés au I du présent article peuvent faire usage d'une identité d'emprunt.	//www.senat.fr/amendements/2012-2013/810/Amdt_631.html									
juste	699671d99b0017e1	senat	10	Adopté	LE GOUVERNEMENT	JORFDOLE000041566073	L521-3-1	LEGIARTI000042615686:4	60	sans visée	1	gne dont les contenus sont manifestement illicites afin qu'i	Rétablir cet article dans la rédaction suivante : Le livre V du code de la consommation est ainsi modifié : 1° Après l’article L. 521‑3, il est inséré un article L. 521‑3‑1 ainsi rédigé : « Art. L. 521‑3‑1. – Lorsque les agents habilités constatent, avec les pouvoirs du présent livre, une infraction ou un manquement à partir d’une interface en ligne et que l’auteur de la pratique ne peut être iden […]	b) Notifier aux opérateurs et personnes mentionnés au 1° du présent article ou au 2 du I de l'article 6 de la loi n° 2004-575 du 21 juin 2004 précitée les adresses électroniques des interfaces en ligne dont les contenus sont manifestement illicites afin qu'ils prennent toute mesure utile destinée à en limiter l'accès ;	//www.senat.fr/amendements/2019-2020/553/Amdt_10.html									
juste	699bf58fd117bc0b	senat	348 rect. bis	Adopté	M. Joël BIGOT	JORFDOLE000038746653	L441-3	LEGIARTI000041556395:0	60	sans visée	1	echnique, y compris logicielle, par laquelle un metteur sur	Après l'article 4 ter Insérer un article additionnel ainsi rédigé : Après l’article L. 213‑4‑1 du code de la consommation, il est inséré un article L. 213‑4‑1‑…. ainsi rédigé : « Art. L. 213‑4‑1‑…. – Toute technique, y compris logicielle, par laquelle un metteur sur le marché vise à rendre impossible la réparation ou le reconditionnement d’un appareil hors de ses circuits agréés est interdite. « L […]	Toute technique, y compris logicielle, par laquelle un metteur sur le marché vise à rendre impossible la réparation ou le reconditionnement d'un appareil hors de ses circuits agréés est interdite.	//www.senat.fr/amendements/2018-2019/728/Amdt_348.html									
juste	69ca6b8d10837268	assemblee	539	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:4	60	sans visée	1	inistre chargé de l'économie désigne par arrêté l'organisme	Compléter cet article par les douze alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigée : « Section 4 « Régime d’opposition au démarchage téléphonique « Art. L. 121‑34. – Le consommateur qui ne souhaite pas faire l’objet de prospection commerciale par voie téléphonique peut gratuitement s’inscrire sur une liste d’opposition au démarchage téléphonique. « Il est interdit  […]	Le ministre chargé de l'économie désigne par arrêté l'organisme chargé de la gestion de la liste d'opposition au démarchage téléphonique, après mise en concurrence, pour une durée fixée par voie réglementaire.										
juste	6a8009baae300e94	senat	10	Adopté	LE GOUVERNEMENT	JORFDOLE000041566073	L521-3-1	LEGIARTI000042615686:0	60	sans visée	1	partir d'une interface en ligne et que l'auteur de la pratiq	Rétablir cet article dans la rédaction suivante : Le livre V du code de la consommation est ainsi modifié : 1° Après l’article L. 521‑3, il est inséré un article L. 521‑3‑1 ainsi rédigé : « Art. L. 521‑3‑1. – Lorsque les agents habilités constatent, avec les pouvoirs du présent livre, une infraction ou un manquement à partir d’une interface en ligne et que l’auteur de la pratique ne peut être iden […]	Lorsque les agents habilités constatent, avec les pouvoirs prévus au présent livre, une infraction ou un manquement aux dispositions mentionnées aux articles L. 511-5, L. 511-6 et L. 511-7 ainsi qu'aux règles relatives à la conformité et à la sécurité des produits à partir d'une interface en ligne et que l'auteur de la pratique ne peut être identifié ou qu'il n'a pas déféré à une injonction prise  […]	//www.senat.fr/amendements/2019-2020/553/Amdt_10.html									
juste	6a98581cdc24bbed	assemblee	5	Adopté	M. Victorin Lurel	JORFDOLE000030536694	L423-1	LEGIARTI000031323715:4	60	sans visée	1	dans les collectivités relevant de l'article 73 de la consti	L’article L. 423‑1 du code de la consommation est complété par un alinéa ainsi rédigé : « Dans les collectivités relevant de l’article 73 de la constitution et dans les collectivités de Saint Barthélemy, de Saint-Martin, de Saint-Pierre-et-Miquelon et de Wallis et Futuna, les associations de consommateurs représentatives au niveau local peuvent également agir, dans les mêmes conditions que les ass […]	Dans les collectivités relevant de l'article 73 de la Constitution et dans les collectivités de Saint-Barthélemy, de Saint-Martin, de Saint-Pierre-et-Miquelon et de Wallis-et-Futuna, les associations de consommateurs représentatives au niveau local peuvent également agir, dans les mêmes conditions que les associations mentionnées au premier alinéa du présent article.										
juste	6ab9f25db28564b0	assemblee	641	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-42	LEGIARTI000028744497:3	60	sans visée	1	ernés ne peuvent s'opposer à la communication et à la public	I. – Après l’article L. 121‑41 du code de la consommation, la section 7 est ainsi rédigée : « Section 7 « Achats par l’intermédiaire des opérateurs de communications électroniques « Art. L. 121‑42. – L’opérateur de communications électroniques, au sens du 6° de l’article L. 32 du code des postes et des communications électroniques, exploitant un numéro à valeur ajoutée, son abonné auquel ce numéro […]	Les abonnés et les fournisseurs de produits ou de services à valeur ajoutée concernés ne peuvent s'opposer à la communication et à la publication par des tiers des informations mentionnées au premier alinéa en vue de constituer l'outil mentionné au même alinéa.										
juste	6cb28307934fc0ad	senat	10	Adopté	LE GOUVERNEMENT	JORFDOLE000041566073	L532-5	LEGIARTI000042616048:0	60	sans visée	1	1 est puni des peines prévues au 1 du vi de l'article 6 de l	Rétablir cet article dans la rédaction suivante : Le livre V du code de la consommation est ainsi modifié : 1° Après l’article L. 521‑3, il est inséré un article L. 521‑3‑1 ainsi rédigé : « Art. L. 521‑3‑1. – Lorsque les agents habilités constatent, avec les pouvoirs du présent livre, une infraction ou un manquement à partir d’une interface en ligne et que l’auteur de la pratique ne peut être iden […]	Le non-respect des mesures ordonnées ou devant être appliquées aux adresses électroniques notifiées en application de l'article L. 521-3-1 est puni des peines prévues au 1 du VI de l'article 6 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique.	//www.senat.fr/amendements/2019-2020/553/Amdt_10.html									
juste	6cc9b08314881605	senat	229 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000021369332	L122-3	LEGIARTI000024039758:0	60	oui	1	st interdit d'exiger le paiement immédiat ou différé de bien	Après l'article 26, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : 1° Les 1°, 4° et 5° de l'article L. 115-30 sont abrogés ; 2° Le dernier alinéa de l'article L. 121-8 est supprimé ; 3° Le premier alinéa de l'article L. 121-35 est complété par les mots : « dès lors que la pratique en cause revêt un caractère déloyal au sens de l'article L. 120-1 » ; 4° […]	Il est interdit d'exiger le paiement immédiat ou différé de biens ou de services fournis par un professionnel ou, s'agissant de biens, d'exiger leur renvoi ou leur conservation, sans que ceux-ci aient fait l'objet d'une commande préalable du consommateur, sauf lorsqu'il s'agit d'un bien ou d'un service de substitution fourni conformément à l'article L. 121-20-3.	//www.senat.fr/amendements/2010-2011/21/Amdt_229.html									
juste	6d9c92c2b43aa3c5	senat	112	Adopté	M. MARINI	JORFDOLE000017760197	L311-4	LEGIARTI000006292383:0	60	oui	1	ute publicité faite, reçue ou perçue en france qui, quel que	Après l'article 59, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : I. - L'article L. 311-4 est ainsi rédigé : « Art. L. 311-4 . – Toute publicité faite, reçue ou perçue en France qui, quel que soit son support, porte sur l'une des opérations de crédit à la consommation visées à l'article L. 311-2, est loyale et informative. Son contenu doit : « 1º Préc […]	Toute publicité faite, reçue ou perçue en France qui, quel que soit son support, porte sur l'une des opérations de crédit à la consommation visées à l'article L. 311-2, est loyale et informative. A ce titre, elle doit :	//www.senat.fr/amendements/2002-2003/166/Amdt_112.html									
