JORFDOLE000049284718	2940
JORFDOLE000049467531	1191
JORFDOLE000050427907	1198
JORFDOLE000050427907	529
JORFDOLE000050427907	631
JORFDOLE000050720166	2538
JORFDOLE000050720166	2754
JORFDOLE000050720166	277
JORFDOLE000050720166	625
JORFDOLE000051045642	1368
JORFDOLE000051045642	447
JORFDOLE000051045642	633
JORFDOLE000052390038	1996
JORFDOLE000052390038	2247
JORFDOLE000052390038	2266
JORFDOLE000052390038	2321
JORFDOLE000052390038	2412
JORFDOLE000052390061	2115
JORFDOLE000052390061	2250
JORFDOLE000052390061	2701
JORFDOLE000053776687	2632
JORFDOLE000053776687	2765
JORFDOLE000053776687	3067
