JORFDOLE000046027237	144
JORFDOLE000046027237	177
JORFDOLE000046027237	19
JORFDOLE000046330273	339
JORFDOLE000046330273	480
JORFDOLE000046330273	481
JORFDOLE000046330273	500
JORFDOLE000046382160	212
JORFDOLE000046382160	278
JORFDOLE000046590737	619
JORFDOLE000046590737	748
JORFDOLE000047381960	1006
JORFDOLE000047381960	1278
JORFDOLE000047381960	790
JORFDOLE000047533100	1674
JORFDOLE000048110358	1745
JORFDOLE000048110358	1994
JORFDOLE000048110358	2009
JORFDOLE000048110358	2010
JORFDOLE000048399123	2041
JORFDOLE000048399123	2334
JORFDOLE000048404267	2014
JORFDOLE000048404267	2157
JORFDOLE000048404267	2308
JORFDOLE000048404267	2333
JORFDOLE000048559623	1984
JORFDOLE000048559623	2066
JORFDOLE000048632889	2197
JORFDOLE000048632889	2305
JORFDOLE000049262627	1070
JORFDOLE000049262627	643
JORFDOLE000049284718	2129
JORFDOLE000049284718	2307
